epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10272.3,1.25137,0.6353,0.00794,0.93138,0.91525,0.95931,0.63833,1.22019,0.46898,0.00763,0.000925156,0.000925156,0.000925156
43,10922.6,1.24005,0.62414,0.00772,0.92666,0.91558,0.95646,0.62529,1.22505,0.4801,0.0079,0.000909688,0.000909688,0.000909688
44,11586.2,1.22946,0.61144,0.0077,0.92687,0.91158,0.955,0.62784,1.23939,0.49297,0.00769,0.000894219,0.000894219,0.000894219
45,12335.9,1.23022,0.61875,0.00773,0.92814,0.91547,0.95678,0.63837,1.20843,0.47292,0.00771,0.00087875,0.00087875,0.00087875
46,642.938,1.19844,0.59106,0.00736,0.93665,0.91467,0.95831,0.6446,1.1973,0.45939,0.00745,0.000863281,0.000863281,0.000863281
47,1286.04,1.18572,0.57473,0.00735,0.93524,0.91833,0.95677,0.62958,1.22479,0.47418,0.0077,0.000847813,0.000847813,0.000847813
48,1938.89,1.18659,0.56677,0.00731,0.94017,0.92374,0.96352,0.64647,1.19597,0.44224,0.00738,0.000832344,0.000832344,0.000832344
49,638.126,1.13618,0.53217,0.00688,0.94011,0.92056,0.96009,0.64468,1.20384,0.45251,0.00764,0.000816875,0.000816875,0.000816875
50,1269.26,1.12509,0.51844,0.00687,0.9401,0.91947,0.95925,0.63492,1.21753,0.45099,0.00753,0.000801406,0.000801406,0.000801406
51,1904.21,1.132,0.51793,0.00684,0.94453,0.91807,0.96285,0.64819,1.19726,0.44211,0.00746,0.000785938,0.000785938,0.000785938
52,2541.8,1.17343,0.55267,0.00709,0.93829,0.92318,0.96297,0.65024,1.18729,0.43417,0.00734,0.000770469,0.000770469,0.000770469
53,3220.22,1.15769,0.54366,0.00706,0.93111,0.92598,0.9634,0.65575,1.18348,0.42999,0.00719,0.000755,0.000755,0.000755
54,3853.36,1.16816,0.55661,0.00709,0.94419,0.91733,0.9651,0.65622,1.17623,0.43761,0.00722,0.000739531,0.000739531,0.000739531
55,4506.89,1.16465,0.55999,0.00718,0.93568,0.92738,0.96578,0.65597,1.17159,0.43221,0.00723,0.000724062,0.000724062,0.000724062
56,5370.01,1.15102,0.54962,0.00697,0.9418,0.93031,0.96755,0.6586,1.17651,0.42046,0.00724,0.000708594,0.000708594,0.000708594
57,6014.85,1.15377,0.54362,0.00703,0.94195,0.92627,0.96608,0.6584,1.16996,0.42092,0.00717,0.000693125,0.000693125,0.000693125
58,6655.85,1.14333,0.54246,0.00698,0.94072,0.93894,0.96825,0.65903,1.17144,0.41276,0.00721,0.000677656,0.000677656,0.000677656
59,7326.86,1.14753,0.53041,0.00689,0.94545,0.93211,0.97019,0.66226,1.16046,0.41202,0.00707,0.000662188,0.000662188,0.000662188
60,7972.23,1.13851,0.53628,0.00689,0.93703,0.9303,0.96532,0.65876,1.17156,0.42739,0.00716,0.000646719,0.000646719,0.000646719
61,626.738,1.08455,0.49228,0.00645,0.941,0.93351,0.96737,0.65918,1.16377,0.41838,0.00714,0.00063125,0.00063125,0.00063125
62,1248.15,1.06839,0.48016,0.0064,0.9409,0.93478,0.96879,0.66153,1.16384,0.41391,0.00709,0.000615781,0.000615781,0.000615781
63,1874,1.06844,0.47265,0.00634,0.94342,0.93641,0.97021,0.66549,1.15855,0.40671,0.00699,0.000600313,0.000600313,0.000600313
64,2496.31,1.08447,0.4805,0.00635,0.94218,0.93561,0.96933,0.66311,1.15601,0.40641,0.00697,0.000584844,0.000584844,0.000584844
65,3125.62,1.07559,0.47346,0.00638,0.9405,0.9392,0.96871,0.6653,1.15404,0.40944,0.00691,0.000569375,0.000569375,0.000569375
66,3748.75,1.08431,0.48631,0.0064,0.94032,0.93294,0.96924,0.6679,1.14986,0.41,0.007,0.000553906,0.000553906,0.000553906
67,4387.21,1.07946,0.48344,0.00644,0.95013,0.92977,0.96807,0.66524,1.15108,0.40585,0.00688,0.000538438,0.000538438,0.000538438
68,5025.67,1.06986,0.47369,0.00631,0.94339,0.93665,0.9701,0.66567,1.15477,0.40368,0.00694,0.000522969,0.000522969,0.000522969
69,5668.49,1.0681,0.47547,0.00631,0.9414,0.93765,0.96923,0.66724,1.14667,0.40157,0.00689,0.0005075,0.0005075,0.0005075
70,6309.32,1.06056,0.47205,0.00635,0.94332,0.93955,0.96913,0.66672,1.15042,0.40518,0.00691,0.000492031,0.000492031,0.000492031
71,6953.98,1.06358,0.46853,0.00622,0.95103,0.9352,0.97019,0.66806,1.14517,0.40177,0.00686,0.000476562,0.000476562,0.000476562
72,7588.53,1.05779,0.47097,0.00624,0.95208,0.93347,0.97081,0.6686,1.13795,0.39842,0.00681,0.000461094,0.000461094,0.000461094
73,8229.17,1.08066,0.48702,0.00646,0.94881,0.93791,0.9713,0.67129,1.13525,0.40318,0.00675,0.000445625,0.000445625,0.000445625
74,8870.5,1.06997,0.48108,0.00637,0.9456,0.93664,0.97019,0.67212,1.13268,0.39738,0.00676,0.000430156,0.000430156,0.000430156
75,9516.94,1.07207,0.4849,0.00623,0.94338,0.93943,0.97064,0.67245,1.13309,0.3991,0.00678,0.000414688,0.000414688,0.000414688
76,10176.4,1.07154,0.48534,0.00638,0.94857,0.93607,0.97054,0.674,1.12738,0.39825,0.00667,0.000399219,0.000399219,0.000399219
77,10831.8,1.06078,0.47498,0.00621,0.9467,0.93741,0.97034,0.67458,1.12851,0.39515,0.0067,0.00038375,0.00038375,0.00038375
78,625.734,0.99495,0.43501,0.0057,0.94865,0.93782,0.97167,0.67623,1.128,0.39646,0.00671,0.000368281,0.000368281,0.000368281
79,1251.64,0.98382,0.42108,0.00567,0.94863,0.94113,0.96907,0.67473,1.12951,0.39536,0.00671,0.000352812,0.000352812,0.000352812
80,1881.65,0.97878,0.41179,0.00562,0.95103,0.93807,0.96938,0.67526,1.12758,0.39399,0.00668,0.000337344,0.000337344,0.000337344
81,2509.23,0.98895,0.4199,0.00561,0.94657,0.93996,0.96765,0.67408,1.12698,0.39631,0.0067,0.000321875,0.000321875,0.000321875
82,3134.79,0.98487,0.41394,0.00566,0.94909,0.94104,0.9697,0.67565,1.12671,0.3898,0.00671,0.000306406,0.000306406,0.000306406
83,3759.13,0.98969,0.4263,0.00563,0.9517,0.93663,0.96753,0.67496,1.12515,0.39014,0.00669,0.000290937,0.000290937,0.000290937
84,4401.97,0.98084,0.41685,0.00565,0.94589,0.93923,0.96868,0.67564,1.12334,0.39068,0.00667,0.000275469,0.000275469,0.000275469
85,5035.15,0.97169,0.40741,0.00554,0.94384,0.94458,0.97036,0.67378,1.1283,0.39167,0.0067,0.00026,0.00026,0.00026
86,5665.43,0.97377,0.41328,0.00558,0.94834,0.9386,0.97005,0.67494,1.12181,0.39245,0.00664,0.000244531,0.000244531,0.000244531
87,6299.77,0.96791,0.41449,0.0056,0.95038,0.93917,0.97064,0.67469,1.12275,0.38957,0.00667,0.000229063,0.000229063,0.000229063
88,6936.44,0.96723,0.40762,0.00542,0.95053,0.94099,0.96959,0.67586,1.12404,0.38999,0.00668,0.000213594,0.000213594,0.000213594
89,7563.72,0.9638,0.40942,0.0055,0.9504,0.9408,0.971,0.67613,1.12073,0.38805,0.00664,0.000198125,0.000198125,0.000198125
90,8196.71,0.97891,0.41741,0.00564,0.94829,0.93999,0.97056,0.67559,1.12003,0.38822,0.00661,0.000182656,0.000182656,0.000182656
91,8863.94,0.97932,0.32854,0.00621,0.94599,0.94067,0.96997,0.67494,1.12091,0.38844,0.00662,0.000167188,0.000167188,0.000167188
92,9534.9,0.96253,0.32199,0.00596,0.94974,0.9416,0.96981,0.67659,1.11831,0.38827,0.00659,0.000151719,0.000151719,0.000151719
93,10185.9,0.95696,0.31825,0.00596,0.94734,0.94067,0.97033,0.6774,1.1196,0.38898,0.00659,0.00013625,0.00013625,0.00013625
94,10825.3,0.95048,0.31474,0.00594,0.95049,0.94253,0.97126,0.67779,1.11916,0.3856,0.00656,0.000120781,0.000120781,0.000120781
95,11466.5,0.94216,0.31105,0.00581,0.94915,0.94155,0.97079,0.67831,1.1153,0.38593,0.00654,0.000105312,0.000105312,0.000105312
96,12115.8,0.93635,0.30739,0.0058,0.95173,0.93646,0.97029,0.67702,1.11568,0.38845,0.00653,8.98437e-05,8.98437e-05,8.98437e-05
97,12757.5,0.9324,0.30689,0.00571,0.94911,0.94201,0.96954,0.67798,1.11394,0.38471,0.00653,7.4375e-05,7.4375e-05,7.4375e-05
98,13403.7,0.93063,0.30603,0.00572,0.94672,0.94132,0.96907,0.67844,1.11297,0.3849,0.00655,5.89062e-05,5.89062e-05,5.89062e-05
99,14045.3,0.92716,0.30499,0.00568,0.94551,0.94136,0.97024,0.6785,1.11331,0.38523,0.00655,4.34375e-05,4.34375e-05,4.34375e-05
